"SC","名称","市場","種別","日付","株価","前日比","前日比(％)","前日終値","始値","高値","安値","出来高","売買代金(千円)","時価総額(百万円)","値幅下限","値幅上限"
"1301","極洋","東証PR","水産・農林","20220826","3730","-30","-0.8","3760","3760","3760","3720","9500","35464","40762","3060","4460"
"1332","日本水産","東証PR","水産・農林","20220826","576","-2","-0.35","578","581","581","575","617300","356224","179960","478","678"
"1333","マルハニチロ","東証PR","水産・農林","20220826","2527","7","0.28","2520","2521","2543","2521","179700","455306","133064","2020","3020"
"1375","雪国まいたけ","東証PR","水産・農林","20220826","1041","21","2.06","1020","1025","1043","1022","72500","75133","41547","720","1320"
"1376","カネコ種苗","東証ST","水産・農林","20220826","1625","3","0.18","1622","1620","1630","1609","5800","9401","19131","1222","2022"
"1377","サカタのタネ","東証PR","水産・農林","20220826","5030","-20","-0.4","5050","5070","5090","5000","79900","403670","238476","4050","6050"
"1379","ホクト","東証PR","水産・農林","20220826","1931","-8","-0.41","1939","1940","1944","1931","32400","62794","64416","1539","2339"
"1380","秋川牧園","東証ST","水産・農林","20220826","1066","5","0.47","1061","1074","1074","1066","500","536","4455","761","1361"
"1381","アクシーズ","東証ST","水産・農林","20220826","2996","6","0.2","2990","2999","3000","2990","1200","3594","16830","2490","3490"
"1382","ホーブ","東証ST","水産・農林","20220826","3325","501","17.74","2824","3325","3325","2827","1181300","3748209","2534","2324","3325"
"1383","ベルグアース","東証ST","水産・農林","20220826","2740","-8","-0.29","2748","2740","2740","2740","100","274","3965","2248","3250"
"1384","ホクリヨウ","東証ST","水産・農林","20220826","618","3","0.49","615","612","618","612","12200","7480","5228","515","715"
"1400","ルーデン・ホールディングス","東証GR","建設","20220826","127","2","1.6","125","125","131","125","118800","15192","1652","75","175"
"1401","エムビーエス","東証GR","建設","20220826","515","-1","-0.19","516","516","518","513","2000","1031","3982","416","616"
"1407","ウエストホールディングス","東証ST","建設","20220826","4480","140","3.23","4340","4370","4500","4370","229600","1023795","206203","3640","5040"
"1414","ショーボンドホールディングス","東証PR","建設","20220826","6140","-40","-0.65","6180","6240","6320","6110","188200","1166586","348415","5180","7180"
"1417","ミライト・ワン","東証PR","建設","20220826","1616","-9","-0.55","1625","1625","1630","1614","158700","257245","175054","1225","2025"
"1418","インターライフホールディングス","東証ST","建設","20220826","172","-2","-1.15","174","174","175","172","23300","4048","3442","124","224"
"1419","タマホーム","東証PR","建設","20220826","2441","45","1.88","2396","2417","2446","2405","196400","477091","71902","1896","2896"
"1420","サンヨーホームズ","東証ST","建設","20220826","705","1","0.14","704","706","706","704","6200","4367","8897","554","854"
"1429","日本アクア","東証PR","建設","20220826","648","8","1.25","640","640","658","633","55000","35622","22524","540","740"
"1430","ファーストコーポレーション","東証PR","建設","20220826","743","1","0.13","742","744","745","741","16200","12042","9929","592","892"
"1431","Lib_Work","東証GR","建設","20220826","850","0","0","850","858","864","850","45000","38586","19798","700","1000"
"1433","ベステラ","東証PR","建設","20220826","1140","-10","-0.87","1150","1150","1162","1139","40900","46933","10249","850","1450"
"1434","JESCOホールディングス","東証ST","建設","20220826","492","-4","-0.81","496","494","495","491","21000","10357","3312","416","576"
"1435","Robot_Home","東証PR","建設","20220826","195","-1","-0.51","196","196","196","194","54300","10586","17770","146","246"
"1436","フィット","東証GR","建設","20220826","749","-3","-0.4","752","752","756","749","1800","1354","3208","602","902"
"1439","安江工務店","東証ST","建設","20220826","962","2","0.21","960","955","962","945","600","574","1286","810","1110"
"1443","技研ホールディングス","東証ST","建設","20220826","223","3","1.36","220","220","223","218","49500","10921","3621","140","300"
"1444","ニッソウ","東証GR","建設","20220826","1542","13","0.85","1529","1552","1555","1491","3500","5323","1679","1129","1929"
"1446","キャンディル","東証ST","建設","20220826","584","3","0.52","581","584","587","583","16700","9765","6269","481","681"
"1447","ITbookホールディングス","東証GR","建設","20220826","479","-12","-2.44","491","497","505","478","400200","195759","10841","411","571"
"1450","田中建設工業","東証ST","建設","20220826","2198","-52","-2.31","2250","2246","2247","2198","400","889","9561","1750","2750"
"1451","KHC","東証ST","建設","20220826","612","0","0","612","612","613","612","2400","1469","2439","512","712"
"1491","中外鉱業","東証ST","非鉄金属","20220826","30","0","0","30","31","31","30","571100","17314","8692","1","60"
"1514","住石ホールディングス","東証ST","鉱業","20220826","250","1","0.4","249","248","261","242","4608000","1159145","14723","169","329"
"1515","日鉄鉱業","東証PR","鉱業","20220826","5860","50","0.86","5810","5870","5880","5850","8800","51631","48945","4810","6810"
"1518","三井松島ホールディングス","東証PR","鉱業","20220826","3750","-45","-1.19","3795","3785","3840","3715","2071200","7781362","48992","3095","4495"
"1605","INPEX","東証PR","鉱業","20220826","1583","-13","-0.81","1596","1580","1609","1577","9212000","14667151","2195094","1196","1996"
"1662","石油資源開発","東証PR","鉱業","20220826","3880","-15","-0.39","3895","3900","3940","3865","300400","1171846","221761","3195","4595"
"1663","K＆Oエナジーグループ","東証PR","鉱業","20220826","1602","-6","-0.37","1608","1618","1623","1591","41900","67282","45394","1208","2008"
"1711","SDSホールディングス","東証ST","建設","20220826","454","-11","-2.37","465","465","474","452","259000","118896","3965","385","545"
"1712","ダイセキ環境ソリューション","東証PR","建設","20220826","944","-5","-0.53","949","952","960","941","59500","56352","15885","799","1099"
"1716","第一カッター興業","東証PR","建設","20220826","1308","1","0.08","1307","1312","1312","1300","5900","7700","15696","1007","1607"
"1717","明豊ファシリティワークス","東証ST","サービス","20220826","688","12","1.78","676","686","698","679","35900","24764","8790","576","776"
"1718","美樹工業","東証ST","建設","20220826","4050","0","0","4050","4050","4050","4050","100","405","4671","3350","4750"
"1719","安藤・間","東証PR","建設","20220826","884","5","0.57","879","881","887","879","367500","324491","160023","729","1029"
"1720","東急建設","東証PR","建設","20220826","660","10","1.54","650","651","661","650","324500","213248","70462","550","750"
"1721","コムシスホールディングス","東証PR","建設","20220826","2645","2","0.08","2643","2644","2668","2636","289400","766468","372945","2143","3145"
"1723","日本電技","東証ST","建設","20220826","-","0","0","3255","-","-","-","-","-","26683","2555","3955"